Scheduled Arrival,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Arrival Time
00:40,27 Nov,SCL,Santiago,AR1283,Aerolineas Argentinas ,4Landed,00:49
00:42,27 Nov,JUJ,Jujuy,JA3665,JetSMARTLanded,,00:37
01:05,27 Nov,MDZ,Mendoza,WJ3249,JetSMART,,
01:05,27 Nov,MDZ,Mendoza,JA3249,JetSMARTLanded,,01:00
01:45,27 Nov,BRC,San Carlos de Bariloche,AR1679,Aerolineas ArgentinasLanded,,01:36
01:55,27 Nov,MDZ,Mendoza,FO5057,FlybondiLanded,,01:46
02:35,27 Nov,MDZ,Mendoza,AR1965,Aerolineas,,
02:35,27 Nov,GRU,Sao Paulo,AR1259,Aerolineas Argentinas ,2Landed,02:37
03:20,27 Nov,GIG,Rio De Janeiro,AR1263,Aerolineas Argentinas ,3Landed,03:27
04:05,27 Nov,CRD,Comodoro Rivadavia,AR1825,Aerolineas Argentinas ,1Landed,04:01
04:05,27 Nov,GRU,Sao Paulo,AR1247,Aerolineas Argentinas ,2Landed,03:52
04:15,27 Nov,MDZ,Mendoza,AR1965,Aerolineas,,
04:45,27 Nov,ASU,Asuncion,AR1341,Aerolineas Argentinas ,3Landed,04:29
05:05,27 Nov,LIM,Lima,AR1365,Aerolineas Argentinas ,2Landed,04:40
05:25,27 Nov,SSA,Salvador,AR1221,Aerolineas Argentinas ,1Landed,04:59
05:45,27 Nov,VVI,Santa Cruz,AR1369,Aerolineas ArgentinasLanded,,05:03
07:30,27 Nov,BOG,Bogota,AR1361,Aerolineas Argentinas ,1Landed,07:32
08:25,27 Nov,ROS,Rosario,AR1709,Aerolineas Argentinas ,3Landed,08:04
08:37,27 Nov,MDZ,Mendoza,WJ3241,JetSMART,,
08:37,27 Nov,MDZ,Mendoza,JA3241,JetSMARTLanded,,08:22
08:40,27 Nov,COR,Cordoba,AR1531,Aerolineas Argentinas ,3Landed,08:26
08:45,27 Nov,MVD,Montevideo,AR1381,Aerolineas Argentinas ,1Landed,08:50
08:55,27 Nov,SLA,Salta,AR1465,Aerolineas Argentinas ,1Landed,08:30
08:55,27 Nov,MDZ,Mendoza,AR1417,Aerolineas Argentinas ,4Landed,08:47
08:59,27 Nov,MDZ,Mendoza,FO5063,FlybondiLanded,,09:07
09:10,27 Nov,COR,Cordoba,FO5021,FlybondiLanded,,08:52
09:10,27 Nov,BHI,Bahia Blanca,AR1623,Aerolineas ArgentinasLanded,,09:17
09:14,27 Nov,BRC,San Carlos de Bariloche,JA3183,JetSMARTLanded,,09:05
09:20,27 Nov,GRU,Sao Paulo,LA8032,LATAM AirlinesLanded,,09:55
09:30,27 Nov,NQN,Neuquen,AR1665,Aerolineas ArgentinasLanded,,09:15
09:30,27 Nov,COR,Cordoba,AR1543,Aerolineas Argentinas ,1Landed,09:27
09:35,27 Nov,RGA,Rio Grande,AR1845,Aerolineas Argentinas ,2Landed,09:19
09:36,27 Nov,COR,Cordoba,WJ3267,JetSMART,,
09:36,27 Nov,COR,Cordoba,JA3267,JetSMARTLanded,,09:10
09:40,27 Nov,POA,Porto Alegre,AR1235,Aerolineas Argentinas ,2Estimated,10:32
09:45,27 Nov,JUJ,Jujuy,AR1471,Aerolineas Argentinas ,1Landed,09:24
09:50,27 Nov,RES,Resistencia,AR1787,Aerolineas Argentinas ,1Landed,09:31
09:55,27 Nov,SFN,Santa Fe,AR1721,Aerolineas Argentinas ,1Landed,09:35
10:00,27 Nov,SCL,Santiago,JA1003,JetSMARTLanded,,10:39
10:00,27 Nov,BRC,San Carlos de Bariloche,FO5237,FlybondiLanded,,09:47
10:05,27 Nov,CRD,Comodoro Rivadavia,AR1837,Aerolineas Argentinas ,1Landed,10:08
10:05,27 Nov,COR,Cordoba,AR1547,Aerolineas Argentinas ,1Landed,10:16
10:10,27 Nov,MDQ,Mar Del Plata,AR1603,Aerolineas Argentinas ,2Landed,10:05
10:10,27 Nov,TUC,Tucuman,AR1489,Aerolineas,,
10:20,27 Nov,PSS,Posadas,AR1767,Aerolineas ArgentinasLanded,,10:02
10:30,27 Nov,NQN,Neuquen,AR1653,Aerolineas Argentinas ,1Landed,10:20
10:40,27 Nov,CWB,Curitiba,AR1229,Aerolineas Argentinas ,1Landed,10:24
10:45,27 Nov,SLA,Salta,AR1463,Aerolineas ArgentinasLanded,,10:29
10:45,27 Nov,COR,Cordoba,AR1509,Aerolineas Argentinas ,4Landed,10:36
11:10,27 Nov,MDZ,Mendoza,AR1713,Aerolineas Argentinas ,1Landed,11:00
11:20,27 Nov,GIG,Rio De Janeiro,G37650,Gol ,2Landed,10:43
11:20,27 Nov,CNQ,Corrientes,AR1771,Aerolineas Argentinas ,1Landed,10:56
11:20,27 Nov,PSS,Posadas,AR1765,Aerolineas Argentinas ,1Landed,11:25
11:40,27 Nov,GRU,Sao Paulo,LA8140,LATAM Airlines ,1Landed,11:33
11:45,27 Nov,COR,Cordoba,AR1539,Aerolineas ArgentinasLanded,,11:30
11:55,27 Nov,USH,Ushuaia,AR1885,Aerolineas Argentinas ,2Landed,11:48
12:00,27 Nov,BRC,San Carlos de Bariloche,JA3191,JetSMARTLanded,,12:14
12:00,27 Nov,SCL,Santiago,AR1281,Aerolineas Argentinas ,1Landed,12:11
12:00,27 Nov,MDZ,Mendoza,WJ3243,JetSMART,,
12:00,27 Nov,MDZ,Mendoza,JA3243,JetSMARTLanded,,12:06
12:10,27 Nov,IGR,Iguazu,FO5101,FlybondiLanded,,12:33
12:20,27 Nov,USH,Ushuaia,WJ3460,JetSMART,,
12:20,27 Nov,USH,Ushuaia,JA3460,JetSMARTLanded,,12:35
12:20,27 Nov,GRU,Sao Paulo,G37682,Gol ,2Landed,12:02
12:25,27 Nov,FTE,El Calafate,AR1867,Aerolineas Argentinas ,3Landed,12:29
12:30,27 Nov,NQN,Neuquen,AR1651,Aerolineas Argentinas ,2Landed,12:21
12:40,27 Nov,USH,Ushuaia,AR1909,Aerolineas ArgentinasLanded,,12:38
12:40,27 Nov,MVD,Montevideo,AR1385,Aerolineas Argentinas ,1Landed,12:24
12:46,27 Nov,NQN,Neuquen,WJ3445,JetSMART,,
12:46,27 Nov,NQN,Neuquen,JA3445,JetSMARTLanded,,12:53
12:50,27 Nov,BHI,Bahia Blanca,AR1621,Aerolineas Argentinas ,1Landed,12:48
12:50,27 Nov,TUC,Tucuman,AR1483,Aerolineas,,
13:00,27 Nov,GRU,Sao Paulo,AR1241,Aerolineas Argentinas ,4Landed,12:42
13:05,27 Nov,FMA,Formosa,AR1769,Aerolineas,,
13:15,27 Nov,UAQ,San Juan,AR1421,Aerolineas ArgentinasLanded,,13:29
13:30,27 Nov,IGR,Iguazu,AR1733,Aerolineas Argentinas ,3Landed,13:54
13:35,27 Nov,PSS,Posadas,FO5123,FlybondiLanded,,13:18
13:50,27 Nov,LUQ,San Luis,AR1431,Aerolineas ArgentinasLanded,,13:41
13:54,27 Nov,NQN,Neuquen,WJ3447,JetSMART,,
13:54,27 Nov,NQN,Neuquen,JA3447,JetSMARTLanded,,13:38
14:00,27 Nov,PRA,Parana,AR1727,Aerolineas ArgentinasLanded,,13:51
14:10,27 Nov,IGR,Iguazu,FO5103,FlybondiLanded,,14:03
14:10,27 Nov,CPC,San Martin De Los Andes,AR1673,Aerolineas Argentinas ,1Landed,14:00
14:25,27 Nov,ASU,Asuncion,AR1343,Aerolineas Argentinas ,3Landed,14:16
14:35,27 Nov,FTE,El Calafate,FO5551,FlybondiLanded,,15:21
14:35,27 Nov,RES,Resistencia,AR1781,Aerolineas Argentinas ,2Landed,14:22
14:35,27 Nov,BRC,San Carlos de Bariloche,AR1683,Aerolineas Argentinas ,2Landed,14:58
14:40,27 Nov,SLA,Salta,AR1457,Aerolineas ArgentinasLanded,,14:30
14:40,27 Nov,USH,Ushuaia,AR1843,Aerolineas ArgentinasLanded,,14:44
14:45,27 Nov,GIG,Rio De Janeiro,AR1261,Aerolineas Argentinas ,1Landed,14:18
15:25,27 Nov,RGL,Rio Gallegos,AR1801,Aerolineas Argentinas ,1Landed,15:25
15:25,27 Nov,TUC,Tucuman,AR1499,Aerolineas,,
15:30,27 Nov,CPC,San Martin De Los Andes,WJ3551,JetSMART,,
15:30,27 Nov,CPC,San Martin De Los Andes,JA3551,JetSMARTLanded,,15:13
15:30,27 Nov,PMY,Puerto Madryn,FO5311,FlybondiEstimated,,16:17
15:35,27 Nov,CNQ,Corrientes,AR1773,Aerolineas ArgentinasLanded,,15:18
15:35,27 Nov,BRC,San Carlos de Bariloche,AR1645,Aerolineas ArgentinasLanded,,15:30
15:40,27 Nov,AFA,San Rafael,AR1435,Aerolineas Argentinas ,1Landed,15:36
15:40,27 Nov,GRU,Sao Paulo,LA8034,LATAM AirlinesLanded,,15:39
16:00,27 Nov,LIM,Lima,LA2380,LATAM AirlinesLanded,,15:33
