Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
02:05,27 Nov,RGA,Rio Grande,AR1844,Aerolineas Argentinas,Departed,02:07
04:05,27 Nov,FTE,El Calafate,AR1872,Aerolineas Argentinas,Departed,04:14
04:45,27 Nov,JUJ,Jujuy,AR1470,Aerolineas Argentinas,Departed,04:48
05:10,27 Nov,CWB,Curitiba,AR1228,Aerolineas Argentinas,Departed,05:21
05:15,27 Nov,NQN,Neuquen,AR1664,Aerolineas Argentinas,Departed,05:25
05:25,27 Nov,POA,Porto Alegre,AR1234,Aerolineas Argentinas,Departed,06:44
05:55,27 Nov,COR,Cordoba,AR1542,Aerolineas Argentinas,Departed,05:55
06:30,27 Nov,GRU,Sao Paulo,AR1240,Aerolineas Argentinas,Departed,06:37
06:45,27 Nov,SLA,Salta,AR1452,Aerolineas Argentinas,Departed,06:52
07:00,27 Nov,MDZ,Mendoza,AR1410,Aerolineas Argentinas,Departed,07:11
07:10,27 Nov,COR,Cordoba,AR1508,Aerolineas Argentinas,Departed,07:22
07:15,27 Nov,SFN,Santa Fe,AR1720,Aerolineas Argentinas,Departed,07:18
07:15,27 Nov,MDQ,Mar Del Plata,AR1602,Aerolineas Argentinas,Departed,07:27
07:35,27 Nov,GIG,Rio De Janeiro,AR1260,Aerolineas Argentinas,Departed,07:42
07:45,27 Nov,CNQ,Corrientes,AR1770,Aerolineas Argentinas,Departed,07:48
07:55,27 Nov,GRU,Sao Paulo,AR1244,Aerolineas Argentinas,Departed,08:05
08:10,27 Nov,MDZ,Mendoza,AR1412,Aerolineas Argentinas,Departed,08:23
08:15,27 Nov,NQN,Neuquen,AR1650,Aerolineas Argentinas,Departed,08:27
08:20,27 Nov,ROS,Rosario,AR1702,Aerolineas Argentinas,Departed,08:32
08:30,27 Nov,RGL,Rio Gallegos,AR1800,Aerolineas Argentinas,Departed,08:55
08:45,27 Nov,USH,Ushuaia,AR1898,Aerolineas Argentinas,Departed,09:00
08:55,27 Nov,IGR,Iguazu,AR1732,Aerolineas Argentinas,Departed,09:40
09:10,27 Nov,FMA,Formosa,AR1768,Aerolineas Argentinas,Estimated,10:15
09:10,27 Nov,CPC,San Martin De Los Andes,AR1672,Aerolineas Argentinas,Departed,09:21
09:20,27 Nov,BRC,San Carlos de Bariloche,AR1682,Aerolineas Argentinas,Departed,09:57
09:40,27 Nov,SLA,Salta,AR1456,Aerolineas Argentinas,Departed,10:04
09:45,27 Nov,ASU,Asuncion,AR1342,Aerolineas Argentinas,Departed,10:07
09:50,27 Nov,BHI,Bahia Blanca,AR1620,Aerolineas Argentinas,Departed,10:10
09:55,27 Nov,MDQ,Mar Del Plata,AR1608,Aerolineas Argentinas,Departed,10:15
10:00,27 Nov,CRD,Comodoro Rivadavia,AR1834,Aerolineas Argentinas,Departed,10:25
10:10,27 Nov,MDZ,Mendoza,AR1406,Aerolineas Argentinas,Departed,10:34
10:15,27 Nov,MVD,Montevideo,AR1384,Aerolineas Argentinas,Departed,10:31
10:20,27 Nov,LUQ,San Luis,AR1430,Aerolineas Argentinas,Departed,10:37
10:40,27 Nov,COR,Cordoba,AR1510,Aerolineas Argentinas,Estimated,10:45
10:40,27 Nov,MDZ,Mendoza,AR1448,Aerolineas Argentinas,Departed,11:37
10:50,27 Nov,RES,Resistencia,AR1780,Aerolineas Argentinas,Departed,11:06
11:10,27 Nov,FTE,El Calafate,AR1876,Aerolineas Argentinas,Departed,11:40
11:10,27 Nov,SCL,Santiago,AR1284,Aerolineas Argentinas,Departed,11:28
11:40,27 Nov,AFA,San Rafael,AR1434,Aerolineas Argentinas,Departed,11:50
11:45,27 Nov,CPC,San Martin De Los Andes,AR1670,Aerolineas Argentinas,Departed,12:07
11:50,27 Nov,CNQ,Corrientes,AR1772,Aerolineas Argentinas,Departed,11:58
11:50,27 Nov,IGR,Iguazu,AR1736,Aerolineas Argentinas,Departed,12:31
11:55,27 Nov,SLA,Salta,AR1454,Aerolineas Argentinas,Departed,12:04
12:10,27 Nov,GIG,Rio De Janeiro,G37653,Gol,Departed,12:17
12:10,27 Nov,SDE,Santiago Del Estero,AR1494,Aerolineas Argentinas,Departed,12:44
12:50,27 Nov,GRU,Sao Paulo,LA8033,LATAM Airlines,Departed,12:55
12:55,27 Nov,EQS,Esquel,AR1666,Aerolineas Argentinas,Departed,13:58
13:00,27 Nov,CTC,Catamarca,AR1442,Aerolineas Argentinas,Estimated,13:00
13:25,27 Nov,USH,Ushuaia,AR1892,Aerolineas Argentinas,Departed,14:20
13:30,27 Nov,SCL,Santiago,AR1286,Aerolineas Argentinas,Departed,15:46
13:35,27 Nov,BRC,San Carlos de Bariloche,AR1644,Aerolineas Argentinas,Departed,13:49
13:40,27 Nov,FMA,Formosa,AR1760,Aerolineas Argentinas,Departed,13:56
13:55,27 Nov,VDM,Viedma,AR1640,Aerolineas Argentinas,Departed,14:07
14:10,27 Nov,GRU,Sao Paulo,G37665,Gol,Departed,14:31
14:30,27 Nov,BRC,San Carlos de Bariloche,AR1676,Aerolineas Argentinas,Estimated,16:36
14:30,27 Nov,NQN,Neuquen,AR1656,Aerolineas Argentinas,Departed,15:19
14:30,27 Nov,UAQ,San Juan,AR1422,Aerolineas Argentinas,Departed,16:04
14:40,27 Nov,IRJ,La Rioja,AR1440,Aerolineas Argentinas,Departed,14:51
14:55,27 Nov,RES,Resistencia,AR1782,Aerolineas Argentinas,Departed,15:04
