],FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
"Sunday, Dec 03",,,,,,
4:05,AR1247,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-GVC),,Landed 04:04
4:45,AR1825,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-GIK),,Landed 04:37
4:45,AR1341,Asuncion (ASU),Aerolineas Argentinas,E190 (LV-FPT),,Landed 04:00
5:05,AR1365,Lima (LIM),Aerolineas Argentinas,B38M (LV-HKU),,Landed 04:45
5:25,AR1221,Salvador (SSA),Aerolineas Argentinas,B38M (LV-GVE),,Landed 04:42
5:45,AR1369,Santa Cruz (VVI),Aerolineas Argentinas,E190 (LV-CHQ),,Landed 05:34
6:30,FO5277,San Carlos de Bariloche (BRC),Flybondi,738,,Unknown
7:30,AR1361,Bogota (BOG),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Landed 06:52
8:05,ZP820,Asuncion (ASU),Paranair,CRJ2 (ZP-CRR),,Landed 07:45
8:25,AR1709,Rosario (ROS),Aerolineas Argentinas,E190 (LV-GBK),,Landed 08:09
8:33,WJ3267,Cordoba (COR),JetSMART (Jaguar Livery),A320 (LV-HVT),,Landed 08:32
8:40,AR1855,Trelew (REL),Aerolineas Argentinas,B738 (LV-FRK),,Landed 08:28
8:40,AR1531,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FQZ),,Landed 08:25
8:45,AR1381,Montevideo (MVD),Aerolineas Argentinas,E190 (LV-CDZ),,Landed 08:18
9:00,AR1417,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-CXS),,Landed 08:49
9:04,WJ3447,Neuquen (NQN),JetSMART (Cougar Livery),A320 (LV-KDP),,Landed 09:08
9:05,AR1465,Salta (SLA),Aerolineas Argentinas,E190 (LV-CMB),,Landed 08:51
9:10,AR1623,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-CHO),,Landed 08:42
9:35,LA8032,Sao Paulo (GRU),LATAM Airlines,A320 (PR-MBH),,Landed 10:03
9:45,AR1471,Jujuy (JUJ),Aerolineas Argentinas,B38M (LV-HKW),,Landed 09:38
9:45,FO5161,Salta (SLA),Flybondi,B738 (LV-KGN),,Landed 09:35
9:50,AR1787,Resistencia (RES),Aerolineas Argentinas,E190 (LV-CPI),,Landed 09:44
9:55,FO5021,Cordoba (COR),Flybondi,B738 (LV-KJE),,Landed 08:36
9:55,FO5237,San Carlos de Bariloche (BRC),Flybondi,738,,Unknown
9:59,WJ3183,San Carlos de Bariloche (BRC),JetSMART (Culpeo Livery),A320 (LV-IVN),,Landed 09:41
10:10,AR1489,Tucuman (TUC),Aerolineas Argentinas,B38M (LV-KEI),,Landed 09:47
10:30,AR1653,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-FWS),,Landed 10:09
10:36,LA421,Santiago (SCL),LATAM Airlines,A320 (CC-CQM),,Landed 10:17
10:40,FO5301,Neuquen (NQN),Flybondi,B738 (LV-KJF),,Landed 10:23
10:45,AR1509,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FSK),,Landed 10:32
11:00,G37650,Rio de Janeiro (GIG),GOL Linhas Aereas,B38M (PS-GPF),,Landed 10:28
11:05,FO5051,Mendoza (MDZ),Flybondi,B738 (LV-KEG),,Landed 11:31
11:05,FO5239,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KEH),,Landed 11:02
11:05,FO5193,Jujuy (JUJ),Flybondi,738,,Unknown
11:08,WJ3495,Salta (SLA),JetSMART (King Penguin Livery),A320 (LV-JQE),,Landed 10:51
11:10,FO5311,Puerto Madryn (PMY),Flybondi,B738 (LV-KEF),,Unknown
11:30,AR1845,Rio Grande (RGA),Aerolineas Argentinas,B38M (LV-KKD),,Landed 11:39
11:45,AR1539,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FVM),,Landed 11:36
11:45,FO5101,Puerto Iguazu (IGR),Flybondi,B738 (LV-HKN),,Landed 11:07
11:50,FO5301,Neuquen (NQN),Flybondi,B738 (LV-KJF),,Unknown
11:55,LA8140,Sao Paulo (GRU),LATAM Airlines,A320 (PR-TYN),,Landed 11:43
12:00,AR1885,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-GKU),,Landed 11:46
12:20,AR1507,Cordoba (COR),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Landed 12:09
12:20,G37682,Sao Paulo (GRU),GOL Linhas Aereas,B38M (PR-XMS),,Landed 12:19
12:25,AR1765,Posadas (PSS),Aerolineas Argentinas,E190 (LV-CID),,Landed 12:15
12:30,AR1637,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-GUB),,Landed 12:05
12:40,AR1385,Montevideo (MVD),Aerolineas Argentinas,B737 (LV-CBT),,Landed 12:33
12:40,AR1621,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-GIK),,Landed 12:47
12:40,AR1847,Rio Grande (RGA),Aerolineas Argentinas,B38M (LV-KEJ),,Landed 12:37
12:53,WJ3460,Ushuaia (USH),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Landed 16:37
13:00,AR1409,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-FVN),,Landed 12:51
13:00,AR1829,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-CEU),,Landed 13:12
13:05,FO5551,El Calafate (FTE),Flybondi,B738 (LV-KEF),,Landed 13:01
13:15,AR1642,Viedma (VDM),Aerolineas Argentinas,E190 (LV-CIE),,Landed 12:58
13:30,AR1729,Parana (PRA),Aerolineas Argentinas,B737 (LV-CBF),,Landed 13:10
13:30,AR1443,Catamarca (CTC),Aerolineas Argentinas,E190 (LV-GBK),,Landed 13:06
