TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
"Sunday, Dec 03",,,,,,
4:05,AR1884,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-GKU),,Departed 04:13
4:45,AR1470,Jujuy (JUJ),Aerolineas Argentinas,B38M (LV-HKW),,Departed 04:58
4:54,WJ3446,Neuquen (NQN),JetSMART (Cougar Livery),A320 (LV-KDP),,Departed 05:22
5:00,AR1408,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-GUB),,Departed 05:08
5:05,AR1698,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GKT),,Departed 05:32
5:15,AR1730,Puerto Iguazu (IGR),Aerolineas Argentinas,E190 (LV-CKZ),,Departed 05:38
5:17,WJ3266,Cordoba (COR),JetSMART (Jaguar Livery),A320 (LV-HVT),,Departed 05:30
5:50,FO5020,Cordoba (COR),Flybondi,B738 (LV-KJE),,Departed 05:41
6:00,AR1426,Mendoza (MDZ),Aerolineas Argentinas,B38M (LV-GVD),,Departed 06:10
6:05,AR1870,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GVC),,Departed 06:20
6:10,FO5192,Jujuy (JUJ),Flybondi,738,,Unknown
6:20,AR1609,Rio Gallegos (RGL),Aerolineas Argentinas,E190 (LV-FPT),,Departed 06:33
6:20,AR1734,Puerto Iguazu (IGR),Aerolineas Argentinas,B738 (LV-CXT),,Departed 06:26
6:20,WJ3494,Salta (SLA),JetSMART (King Penguin Livery),A320 (LV-JQE),,Departed 06:22
6:35,FO5310,Puerto Madryn (PMY),Flybondi,B738 (LV-KEF),,Unknown
6:40,AR1642,San Carlos de Bariloche (BRC),Aerolineas Argentinas,E190 (LV-CIE),,Departed 06:53
6:40,FO5300,Neuquen (NQN),Flybondi,B738 (LV-KJF),,Departed 06:43
6:40,FO5014,Cordoba (COR),Flybondi,B738 (LV-KJE),,Unknown
6:42,AR1020,Buenos Aires (EZE),Aerolineas Argentinas,B38M (LV-GVE),,Departed 06:58
6:45,AR1842,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-FUC),,Departed 07:04
7:00,AR1410,Mendoza (MDZ),Aerolineas Argentinas,E190 (LV-CHQ),,Departed 07:09
7:00,WJ3901,Ushuaia (USH),JetSMART (Cardinal Livery),A320 (LV-IVO),,Departed 07:21
7:10,AR1508,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FSK),,Departed 07:24
7:10,FO5050,Mendoza (MDZ),Flybondi,B738 (LV-KEG),,Departed 07:27
7:35,AR1260,Rio de Janeiro (GIG),Aerolineas Argentinas,B38M (LV-HKU),,Departed 07:47
7:45,AR1828,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-CEU),,Departed 08:04
7:50,FO5300,Neuquen (NQN),Flybondi,B738 (LV-KJF),,Estimated dep. 06:43
8:05,AR1702,Rosario (ROS),Aerolineas Argentinas,B738 (LV-FXQ),,Departed 08:20
8:10,AR1538,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FVM),,Departed 08:14
8:35,AR1882,Trelew (REL),Aerolineas Argentinas,B738 (LV-GVA),,Departed 08:44
8:45,AR1506,Cordoba (COR),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Departed 09:13
8:45,AR1764,Posadas (PSS),Aerolineas Argentinas,E190 (LV-CID),,Departed 08:57
8:55,ZP821,Asuncion (ASU),Paranair,CRJ2 (ZP-CRR),,Departed 08:52
9:10,AR1248,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-GGK),,Estimated dep. 09:24
9:10,AR1672,San Martin de los Andes (CPC),Aerolineas Argentinas,B738 (LV-GUC),,Departed 09:19
9:15,AR1442,Catamarca (CTC),Aerolineas Argentinas,E190 (LV-GBK),,Departed 09:22
9:18,WJ3190,San Carlos de Bariloche (BRC),JetSMART (Jaguar Livery),A320 (LV-HVT),,Departed 09:28
9:30,AR1658,Neuquen (NQN),Aerolineas Argentinas,E190 (LV-CET),,Departed 09:36
9:40,AR1620,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-GIK),,Departed 09:49
9:40,AR1456,Salta (SLA),Aerolineas Argentinas,B738 (LV-FQZ),,Departed 09:52
9:45,AR1748,Puerto Iguazu (IGR),Aerolineas Argentinas,E190 (LV-CPJ),,Departed 09:55
9:45,AR1896,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-FRK),,Departed 10:00
9:59,WJ3550,San Martin de los Andes (CPC),JetSMART (Cougar Livery),A320 (LV-KDP),,Departed 10:12
10:00,AR1834,Comodoro Rivadavia (CRD),Aerolineas Argentinas,B38M (LV-KKE),,Departed 10:25
10:15,AR1384,Montevideo (MVD),Private owner,C172 (LV-CBD),,Departed 10:33
10:15,AR1684,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-CXS),,Departed 10:29
10:20,AR1430,San Luis (LUQ),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Departed 10:35
10:35,LA8143,Rio de Janeiro (GIG),LATAM Airlines,A320 (PR-MBH),,Departed 11:26
10:35,FO5230,Santiago del Estero (SDE),Flybondi,B738 (LV-KGN),,Departed 10:44
10:35,FO5052,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Unknown
